observation_name,S1,S2,S3,S4,S5
Methanohalophilus,6150,4330,170,4280,150
Acetohalobium,0,50,4540,980,600
Methanolobus,30,1830,40,1560,50
Desulfovermiculus,0,530,2040,640,400
Halanaerobium,0,1330,430,930,200
Methanohalobium,0,10,1620,330,500
Desulfovibrio,0,320,910,360,300
Pelobacter,20,960,10,480,10
Marinobacter,1210,40,10,10,0
Methermicoccus,570,10,10,0,0
Marinobacterium,550,0,0,0,0
Methanothermococcus,200,80,10,40,0
Dethiosulfatibacter,0,70,0,130,10
Caminicella,100,50,10,30,20
Thermococcus,60,50,20,30,20
Kosmotoga,50,60,0,10,10
Flavobacterium,70,0,0,10,0
Anaerophaga,0,70,0,10,0
Halocella,50,10,0,10,0
Halomonas,50,10,0,0,0
Carboxydocella,50,0,0,0,0
Thermosipho,40,10,0,0,0
Limnohabitans,50,0,0,0,0
Thiomicrospira,50,0,0,0,0
Desulfohalobium,0,30,10,10,0
Gracilibacteria,50,0,10,20,2600
